item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto_percentual,custo_unitario
280,146,42,2,57.26,0.0734,37.56
281,146,40,1,98.53,0.08,53.25
282,146,8,1,53.6,0.0414,43.6
283,147,6,1,47.83,0.0306,52.6
284,148,3,1,36.49,0.1133,26.91
285,149,38,1,78.25,0.0753,48.05
286,149,33,2,170.97,0.0238,122.16
287,149,5,3,192.23,0.0273,185.65
288,150,5,3,272.49,0.0779,185.65
289,151,17,2,152.83,0.1704,127.08
290,151,30,3,234.03,0.0884,145.7
291,151,31,1,60.12,0.0805,39.52
292,152,41,1,247.19,0.1712,180.53
293,152,45,1,45.92,0.2039,39.57
294,152,4,1,171.04,0.2016,160.15
295,153,13,1,114.13,0.2185,77.45
296,154,7,1,160.19,0.0962,103.55
297,155,23,1,48.47,0.2011,43.89
298,156,11,1,209.09,0.0403,139.55
299,157,28,1,194.57,0.2102,142.78
300,158,25,1,21.53,0.1041,16.13
301,159,45,1,56.72,0.0535,39.57
302,160,53,1,212.31,0.1785,152.79
303,160,36,2,82.86,0.1805,66.1
304,160,8,1,41.95,0.1711,43.6
305,160,46,2,105.04,0.2,81.26
306,161,5,2,192.23,0.1721,185.65
307,161,15,1,35.67,0.1863,22.05
308,161,14,1,135.68,0.1746,105.23
309,162,7,1,118.66,0.1759,103.55
310,162,16,2,173.79,0.2327,150.82
311,163,45,2,56.72,0.2212,39.57
312,164,4,1,201.22,0.0304,160.15
313,165,37,1,94.67,0.1398,61.9
314,165,33,1,205.16,0.0743,122.16
315,166,36,1,78.26,0.2083,66.1
316,167,36,2,96.67,0.0338,66.1
317,167,5,3,201.84,0.0843,185.65
318,167,16,1,214.68,0.0516,150.82
319,168,8,1,46.61,0.1737,43.6
320,169,45,1,45.92,0.0629,39.57
321,169,23,2,48.47,0.2243,43.89
322,170,45,1,54.02,0.071,39.57
323,170,5,1,192.23,0.0958,185.65
324,171,37,2,106.5,0.0888,61.9
325,172,17,1,129.91,0.1938,127.08
326,173,24,2,286.14,0.1861,217.31
327,174,4,1,181.1,0.0744,160.15
328,175,4,2,285.23,0.1698,160.15
329,175,9,1,239.17,0.1699,108.49
330,175,11,1,258.28,0.2328,139.55
331,175,6,1,79.76,0.2257,52.6
332,176,5,2,221.06,0.2002,185.65
333,177,28,2,194.57,0.0455,142.78
334,178,17,1,129.91,0.1797,127.08
335,179,5,1,221.06,0.222,185.65
336,179,52,1,220.02,0.2102,115.34
337,180,11,1,163.99,0.0585,139.55
338,181,31,1,73.05,0.0857,39.52
339,182,6,1,87.36,0.0358,52.6
340,183,7,1,139.6,0.0496,103.55
341,183,44,2,167.06,0.0574,119.7
342,184,36,1,96.67,0.1012,66.1
343,184,10,1,185.52,0.0303,120.42
344,184,29,1,112.51,0.0767,78.75
345,185,17,1,237.27,0.2116,127.08
346,185,21,1,197.11,0.0647,94.68
347,185,13,2,154.07,0.0591,77.45
348,185,47,2,229.52,0.1053,89.54
349,186,18,1,552.29,0.0808,173.9
350,186,37,1,90.72,0.0899,61.9
351,187,17,2,247.58,0.1525,127.08
352,187,20,1,113.01,0.0465,55.18
353,187,47,1,239.5,0.0331,89.54
354,187,23,3,92.37,0.1626,43.89
355,188,49,1,131.25,0.0698,73.39
356,189,13,1,160.77,0.1819,77.45
357,190,25,2,21.53,0.0834,16.13
358,191,40,2,85.68,0.1986,53.25
359,192,36,1,78.26,0.1863,66.1
360,193,32,1,171.18,0.0921,130.06
361,194,20,1,69.76,0.1036,55.18
362,195,17,1,129.91,0.229,127.08
363,195,4,1,171.04,0.1104,160.15
364,196,3,1,36.49,0.2275,26.91
365,197,46,1,122.55,0.2395,81.26
366,197,7,2,146.58,0.2052,103.55
367,198,5,1,192.23,0.0432,185.65
368,199,14,3,183.17,0.0761,105.23
369,199,29,1,144.65,0.0765,78.75
370,199,5,2,259.51,0.0625,185.65
371,199,33,2,230.81,0.0819,122.16
372,200,14,1,115.33,0.0857,105.23
373,201,52,2,162.62,0.0947,115.34
374,202,6,1,50.64,0.0643,52.6
375,202,17,1,137.55,0.1586,127.08
376,202,21,3,114.26,0.1098,94.68
377,202,41,1,261.73,0.0488,180.53
378,203,41,1,412.22,0.2296,180.53
379,204,9,3,194.04,0.0484,108.49
380,205,32,2,181.25,0.0629,130.06
381,205,17,1,137.55,0.1452,127.08
382,206,49,1,131.25,0.068,73.39
383,207,45,1,45.92,0.165,39.57
384,207,6,2,47.83,0.1849,52.6
385,208,1,1,172.33,0.1811,91.78
386,209,23,3,48.47,0.1992,43.89
387,209,5,1,163.4,0.0338,185.65
388,210,46,1,105.04,0.0682,81.26
389,210,17,1,137.55,0.2257,127.08
390,211,12,2,396.16,0.2167,209.52
391,211,50,1,171.54,0.2256,118.05
392,212,51,3,321.01,0.0568,201.19
393,213,1,2,109.41,0.3004,91.78
394,213,24,3,302.97,0.1789,217.31
395,213,34,2,61.44,0.1678,37.12
396,214,44,2,202.98,0.1611,119.7
397,215,7,1,160.19,0.1746,103.55
398,215,5,1,220.58,0.2276,185.65
399,216,15,1,30.32,0.2373,22.05
400,216,45,3,45.92,0.1798,39.57
401,217,36,1,78.26,0.0339,66.1
402,218,16,1,184.01,0.0845,150.82
403,218,17,2,137.55,0.163,127.08
404,218,26,1,229.2,0.0351,164.45
405,218,52,1,172.19,0.0892,115.34
406,219,4,1,171.04,0.1776,160.15
407,220,14,1,142.46,0.2381,105.23
408,221,1,1,139.81,0.2904,91.78
409,221,31,3,69.14,0.2222,39.52
410,222,34,1,61.44,0.083,37.12
411,222,53,1,212.31,0.1032,152.79
412,223,25,2,21.53,0.0656,16.13
413,224,5,2,201.84,0.2166,185.65
414,224,49,1,97.22,0.2221,73.39
415,225,8,2,75.51,0.0699,43.6
416,225,42,1,80.66,0.0512,37.56
417,225,5,1,311.41,0.1099,185.65
418,226,45,1,62.12,0.036,39.57
419,226,42,1,57.26,0.0339,37.56
420,227,5,1,272.49,0.0811,185.65
421,227,36,1,130.51,0.1098,66.1
422,228,31,1,72.14,0.1086,39.52
423,228,5,2,230.68,0.0651,185.65
424,229,49,1,83.33,0.202,73.39
425,229,31,1,54.11,0.2378,39.52
426,230,45,1,61.99,0.1967,39.57
427,230,46,1,133.92,0.2137,81.26
428,231,30,1,268.55,0.2177,145.7
429,232,6,1,68.37,0.0346,52.6
430,233,53,3,366.23,0.0653,152.79
431,234,33,2,170.97,0.237,122.16
432,235,41,1,334.43,0.106,180.53
433,235,32,1,231.6,0.0315,130.06
434,236,47,1,209.56,0.0907,89.54
435,236,6,1,79.76,0.1029,52.6
436,237,18,1,552.29,0.2387,173.9
437,238,5,3,173.01,0.2141,185.65
438,238,51,1,240.76,0.1751,201.19
439,238,18,1,432.22,0.1674,173.9
440,239,31,1,54.11,0.2142,39.52
441,240,20,1,59.3,0.0481,55.18
442,241,4,1,171.04,0.1679,160.15
443,242,1,1,103.33,0.2837,91.78
444,243,6,2,68.37,0.1742,52.6
445,243,3,1,52.16,0.2244,26.91
446,243,27,1,204.08,0.1931,88.49
447,244,36,1,105.65,0.0471,66.1
448,245,5,1,233.56,0.0826,185.65
449,245,3,2,52.16,0.0929,26.91
450,245,1,1,147.71,0.1586,91.78
451,246,45,1,54.02,0.2313,39.57
452,246,12,2,345.24,0.2172,209.52
453,247,13,1,154.07,0.0798,77.45
454,248,30,2,234.03,0.2197,145.7
455,248,17,1,152.83,0.3237,127.08
456,248,23,3,57.02,0.2795,43.89
457,248,6,1,56.27,0.1952,52.6
458,249,3,2,36.49,0.2006,26.91
459,249,47,1,125.66,0.1705,89.54
460,250,8,1,56.63,0.2362,43.6
461,250,47,1,179.63,0.2105,89.54
462,251,5,1,163.4,0.1041,185.65
463,252,6,2,50.64,0.0839,52.6
464,252,31,1,54.11,0.1014,39.52
465,252,8,1,41.95,0.0565,43.6
466,252,36,1,82.86,0.109,66.1
467,253,46,3,133.92,0.1873,81.26
468,254,3,1,38.64,0.1895,26.91
469,254,30,2,210.63,0.2249,145.7
470,255,49,2,106.48,0.0933,73.39
471,256,8,1,66.07,0.1806,43.6
472,256,16,2,289.82,0.1611,150.82
473,256,52,1,271.2,0.2079,115.34
474,256,24,1,477.17,0.2363,217.31
475,257,24,1,336.63,0.1667,217.31
476,257,45,1,54.02,0.221,39.57
477,257,6,1,56.27,0.1813,52.6
478,258,5,2,163.4,0.1385,185.65
479,258,17,1,129.91,0.1704,127.08
480,259,31,1,51.1,0.2171,39.52
481,260,15,1,35.67,0.0678,22.05
482,260,44,1,167.06,0.0977,119.7
483,261,12,1,362.5,0.2359,209.52
484,261,5,1,201.84,0.1735,185.65
485,262,6,1,56.27,0.1821,52.6
486,263,42,1,57.13,0.0957,37.56
487,263,33,1,196.19,0.0451,122.16
488,264,35,1,119.45,0.1091,79.44
489,265,36,1,92.07,0.0834,66.1
490,265,5,1,192.23,0.1004,185.65
491,266,52,1,191.32,0.1305,115.34
492,266,37,1,78.89,0.0722,61.9
493,267,36,2,130.51,0.0424,66.1
494,267,5,1,272.49,0.0499,185.65
495,268,46,1,165.44,0.1006,81.26
496,269,13,1,84.35,0.1805,77.45
497,270,35,1,102.38,0.1036,79.44
498,271,16,1,173.79,0.2218,150.82
499,272,13,1,99.24,0.0695,77.45
500,273,47,2,169.65,0.2206,89.54
501,273,5,1,220.58,0.1733,185.65
502,273,24,2,386.28,0.2176,217.31
503,274,32,1,271.88,0.0716,130.06
504,274,53,1,318.47,0.067,152.79
505,274,46,2,157.56,0.0341,81.26
506,275,31,1,51.1,0.2275,39.52
507,275,8,1,39.62,0.2261,43.6
508,276,5,3,233.56,0.0556,185.65
509,276,15,2,43.34,0.1005,22.05
510,277,22,1,151.7,0.2081,88.13
511,277,1,2,103.33,0.3353,91.78
512,278,35,1,161.25,0.1941,79.44
513,278,13,1,140.67,0.2135,77.45
514,279,5,1,201.84,0.081,185.65
515,280,35,1,102.38,0.1099,79.44
516,281,20,1,59.3,0.1976,55.18
517,282,29,1,91.08,0.1121,78.75
518,283,46,1,105.04,0.2393,81.26
519,283,36,1,82.86,0.2267,66.1
520,284,17,2,129.91,0.2047,127.08
521,284,47,1,125.66,0.0718,89.54
522,284,25,1,21.53,0.0631,16.13
523,285,22,1,151.7,0.0747,88.13
524,285,53,1,200.52,0.1049,152.79
525,286,29,1,91.08,0.1003,78.75
526,287,53,1,235.9,0.0645,152.79
527,288,13,1,104.2,0.0849,77.45
528,289,32,1,211.46,0.2375,130.06
529,289,42,2,52.28,0.234,37.56
530,290,8,1,41.95,0.0865,43.6
531,291,5,2,298.44,0.0917,185.65
532,292,7,2,118.66,0.1085,103.55
533,292,44,1,142.0,0.0481,119.7
534,293,44,1,236.81,0.1021,119.7
535,294,12,3,310.72,0.2157,209.52
536,294,23,1,51.32,0.2964,43.89
537,295,1,2,103.33,0.1879,91.78
538,295,8,1,39.62,0.0841,43.6
539,296,5,3,192.23,0.096,185.65
540,296,31,1,60.12,0.0601,39.52
541,297,36,1,105.65,0.18,66.1
542,298,25,3,26.6,0.177,16.13
543,299,8,1,39.62,0.0883,43.6
544,299,2,1,225.64,0.0597,137.72
545,300,4,1,171.04,0.0895,160.15
546,301,7,1,160.54,0.1672,103.55
547,301,29,1,123.22,0.181,78.75
548,302,27,1,204.08,0.172,88.49
549,303,4,3,171.04,0.1916,160.15
550,304,38,1,78.25,0.1021,48.05
551,304,1,1,121.57,0.2149,91.78
552,304,23,2,57.02,0.235,43.89
553,305,32,1,171.18,0.1786,130.06
554,305,47,2,125.66,0.2259,89.54
555,306,17,1,137.55,0.2953,127.08
556,306,28,2,175.11,0.1968,142.78
557,306,5,1,173.01,0.2347,185.65
558,307,37,2,127.8,0.11,61.9
559,307,46,2,189.07,0.0391,81.26
560,307,17,1,247.58,0.1657,127.08
561,308,23,1,80.83,0.2885,43.89
562,308,29,2,151.89,0.164,78.75
563,309,25,1,21.53,0.182,16.13
564,310,11,1,295.18,0.1828,139.55
565,311,17,2,137.55,0.1608,127.08
566,311,40,1,77.11,0.0919,53.25
567,312,49,1,78.7,0.0348,73.39
568,312,38,1,66.51,0.04,48.05
569,312,37,3,67.06,0.0532,61.9
570,313,9,1,194.04,0.0875,108.49
571,313,27,2,193.17,0.0712,88.49
572,314,34,1,78.34,0.1686,37.12
573,315,6,2,64.57,0.0552,52.6
574,316,6,2,64.57,0.0324,52.6
575,316,21,1,145.69,0.036,94.68
576,317,23,2,68.42,0.2346,43.89
577,317,20,1,83.71,0.0792,55.18
578,318,41,2,247.19,0.1986,180.53
579,319,16,1,173.79,0.0468,150.82
580,319,49,1,78.7,0.0792,73.39
581,320,11,1,163.99,0.0548,139.55
582,320,38,2,70.42,0.0994,48.05
583,321,20,2,73.25,0.1213,55.18
584,322,6,1,79.76,0.1931,52.6
585,322,29,1,151.89,0.1949,78.75
586,323,20,2,62.78,0.0332,55.18
587,324,16,2,173.79,0.0489,150.82
588,324,18,1,408.21,0.0614,173.9
589,324,35,1,96.7,0.0852,79.44
590,325,29,2,96.44,0.0317,78.75
591,326,35,2,96.7,0.2094,79.44
592,326,16,1,173.79,0.1608,150.82
593,326,4,2,171.04,0.1808,160.15
594,327,22,3,151.7,0.1663,88.13
595,327,1,1,103.33,0.3426,91.78
596,328,47,2,229.52,0.1055,89.54
597,329,14,1,122.11,0.0799,105.23
598,330,28,1,233.48,0.0526,142.78
599,331,3,1,38.64,0.0461,26.91
600,331,7,3,125.64,0.0791,103.55
601,331,46,1,105.04,0.0354,81.26
602,332,35,1,176.61,0.0918,79.44
603,333,8,1,46.61,0.2191,43.6
604,333,19,2,376.26,0.2101,137.57
605,333,32,1,201.39,0.1701,130.06
606,333,5,3,192.23,0.1706,185.65
607,334,5,2,163.4,0.1816,185.65
608,334,51,2,227.38,0.2015,201.19
609,335,8,2,46.61,0.1877,43.6
610,335,47,2,147.84,0.1885,89.54
611,336,21,1,114.26,0.0677,94.68
612,337,8,1,53.6,0.1,43.6
613,337,36,1,105.88,0.1032,66.1
614,338,5,1,192.23,0.0739,185.65
615,339,25,1,30.78,0.2212,16.13
616,340,1,2,109.41,0.1385,91.78
617,340,29,1,96.44,0.0435,78.75
618,340,35,1,102.38,0.0652,79.44
619,341,12,1,293.45,0.2196,209.52
620,341,42,1,42.32,0.1639,37.56
621,341,16,1,173.79,0.1957,150.82
622,342,38,1,95.07,0.0756,48.05
623,343,12,1,535.99,0.0351,209.52
624,343,51,1,415.31,0.077,201.19
625,344,4,2,171.04,0.1084,160.15
626,344,8,1,39.62,0.0821,43.6
627,345,29,1,128.58,0.1766,78.75
628,346,53,2,334.39,0.1038,152.79
629,347,30,1,280.84,0.2222,145.7
630,348,36,2,130.51,0.0487,66.1
631,349,5,1,259.51,0.1838,185.65
632,349,35,1,153.58,0.1839,79.44
633,350,27,2,204.08,0.0319,88.49
634,350,29,1,130.19,0.0877,78.75
635,350,8,1,56.63,0.0447,43.6
636,351,30,1,280.84,0.0675,145.7
637,352,8,2,55.93,0.1088,43.6
638,353,14,1,122.11,0.0831,105.23
639,353,5,1,173.01,0.0529,185.65
640,354,5,1,192.23,0.0972,185.65
641,355,21,1,107.92,0.2387,94.68
642,355,5,3,163.4,0.1856,185.65
643,356,29,2,107.15,0.0331,78.75
644,356,12,2,345.24,0.071,209.52
645,357,17,1,129.91,0.1762,127.08
646,358,6,1,68.37,0.2003,52.6
647,359,33,1,196.19,0.2307,122.16
648,360,25,1,21.53,0.069,16.13
649,360,36,1,78.26,0.0638,66.1
650,361,42,2,60.49,0.0534,37.56
651,362,29,2,96.44,0.0725,78.75
652,362,5,1,173.01,0.0841,185.65
653,362,26,1,229.2,0.0486,164.45
654,362,22,1,160.62,0.0957,88.13
655,363,5,1,201.84,0.2165,185.65
656,363,50,1,156.96,0.193,118.05
657,364,24,1,286.14,0.1934,217.31
658,365,53,1,366.23,0.0309,152.79
659,366,46,2,105.04,0.1078,81.26
660,367,31,1,97.39,0.2321,39.52
661,367,46,2,189.07,0.1991,81.26
662,368,46,1,99.2,0.1885,81.26
663,368,52,1,162.62,0.2205,115.34
664,369,36,1,96.67,0.0714,66.1
665,369,32,1,211.46,0.0697,130.06
666,370,6,3,59.08,0.1089,52.6
