pedido_id,cliente_id,data_pedido,canal_venda,uf,estado,regiao,vendedor_id,status_pedido
72,467,2025-08-21,Marketplace,RJ,Rio de Janeiro,Sudeste,3,Concluído
73,137,2024-07-09,Site Próprio,RJ,Rio de Janeiro,Sudeste,1,Concluído
74,75,2025-07-07,Marketplace,PR,Paraná,Sul,5,Concluído
75,569,2025-08-25,Site Próprio,MG,Minas Gerais,Sudeste,6,Concluído
76,135,2025-11-16,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
77,31,2024-12-20,Site Próprio,CE,Ceará,Nordeste,1,Concluído
78,440,2025-08-07,Marketplace,BA,Bahia,Nordeste,2,Concluído
79,283,2025-09-03,Marketplace,PR,Paraná,Sul,4,Concluído
80,390,2024-10-08,Marketplace,SP,São Paulo,Sudeste,5,Concluído
81,610,2025-02-03,Marketplace,SC,Santa Catarina,Sul,3,Concluído
82,639,2025-10-23,Marketplace,DF,Distrito Federal,Centro-Oeste,3,Concluído
83,559,2025-10-24,Marketplace,SC,Santa Catarina,Sul,2,Concluído
84,63,2025-07-06,Aplicativo,RS,Rio Grande do Sul,Sul,1,Concluído
85,204,2024-11-16,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
86,377,2025-06-11,Marketplace,SP,São Paulo,Sudeste,5,Concluído
87,328,2025-07-25,Aplicativo,PE,Pernambuco,Nordeste,1,Concluído
88,47,2025-07-09,Marketplace,SP,São Paulo,Sudeste,5,Concluído
89,349,2025-06-06,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
90,635,2024-07-13,Marketplace,MG,Minas Gerais,Sudeste,2,Concluído
91,272,2024-11-18,Site Próprio,SC,Santa Catarina,Sul,1,Concluído
92,6,2025-12-08,Site Próprio,RS,Rio Grande do Sul,Sul,6,Concluído
93,223,2025-11-18,Marketplace,GO,Goiás,Centro-Oeste,5,Concluído
94,289,2025-01-17,Aplicativo,MS,Mato Grosso do Sul,Centro-Oeste,4,Concluído
95,130,2025-09-15,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
96,429,2025-01-19,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Concluído
97,93,2025-08-27,Marketplace,PR,Paraná,Sul,1,Concluído
98,241,2024-08-10,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
99,490,2025-02-22,Marketplace,SP,São Paulo,Sudeste,5,Concluído
100,614,2025-11-13,Marketplace,SP,São Paulo,Sudeste,5,Cancelado
101,540,2025-09-14,Site Próprio,PR,Paraná,Sul,2,Concluído
102,294,2025-10-11,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
103,440,2025-09-26,Marketplace,BA,Bahia,Nordeste,4,Concluído
104,481,2025-04-20,Site Próprio,DF,Distrito Federal,Centro-Oeste,6,Concluído
105,224,2025-11-10,Marketplace,SC,Santa Catarina,Sul,1,Concluído
106,124,2024-12-02,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
107,466,2025-06-26,Marketplace,SP,São Paulo,Sudeste,1,Concluído
108,479,2025-10-21,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
109,224,2024-11-11,Marketplace,SC,Santa Catarina,Sul,5,Concluído
110,428,2025-07-19,Site Próprio,MS,Mato Grosso do Sul,Centro-Oeste,6,Concluído
111,156,2025-12-21,Site Próprio,RS,Rio Grande do Sul,Sul,2,Concluído
112,535,2025-11-15,Site Próprio,PE,Pernambuco,Nordeste,4,Concluído
113,509,2025-10-27,Site Próprio,PE,Pernambuco,Nordeste,6,Concluído
114,632,2025-06-18,Marketplace,SP,São Paulo,Sudeste,2,Concluído
115,585,2025-10-17,Aplicativo,DF,Distrito Federal,Centro-Oeste,5,Concluído
116,462,2024-07-13,Site Próprio,MG,Minas Gerais,Sudeste,4,Concluído
117,427,2025-10-13,Site Próprio,PR,Paraná,Sul,4,Concluído
118,636,2025-10-11,Aplicativo,SP,São Paulo,Sudeste,2,Concluído
119,119,2024-10-09,Marketplace,CE,Ceará,Nordeste,1,Concluído
120,199,2025-10-13,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
121,588,2025-07-08,Site Próprio,PR,Paraná,Sul,3,Concluído
122,188,2024-11-12,Site Próprio,ES,Espírito Santo,Sudeste,4,Concluído
123,479,2024-05-20,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
124,269,2024-05-19,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Concluído
125,646,2025-12-13,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
126,326,2024-11-17,Marketplace,PR,Paraná,Sul,2,Concluído
127,392,2025-09-02,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
128,40,2025-06-15,Site Próprio,BA,Bahia,Nordeste,3,Concluído
129,10,2024-05-26,Site Próprio,PE,Pernambuco,Nordeste,5,Concluído
130,326,2024-06-07,Site Próprio,PR,Paraná,Sul,1,Concluído
131,165,2025-12-03,Marketplace,MG,Minas Gerais,Sudeste,6,Concluído
132,88,2024-05-14,Site Próprio,BA,Bahia,Nordeste,5,Concluído
133,336,2025-10-05,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
134,291,2025-10-22,Site Próprio,PE,Pernambuco,Nordeste,5,Concluído
135,167,2025-07-13,Marketplace,SP,São Paulo,Sudeste,4,Concluído
136,353,2024-10-13,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
137,164,2024-09-06,Site Próprio,BA,Bahia,Nordeste,5,Concluído
138,593,2024-11-19,Site Próprio,BA,Bahia,Nordeste,3,Concluído
139,360,2024-10-22,Marketplace,CE,Ceará,Nordeste,6,Concluído
140,70,2025-06-17,Site Próprio,MS,Mato Grosso do Sul,Centro-Oeste,6,Concluído
141,342,2025-01-07,Site Próprio,RS,Rio Grande do Sul,Sul,6,Concluído
142,568,2025-03-18,Marketplace,BA,Bahia,Nordeste,1,Concluído
143,54,2024-11-05,Aplicativo,SP,São Paulo,Sudeste,5,Concluído
144,115,2025-12-26,Marketplace,MG,Minas Gerais,Sudeste,5,Concluído
145,586,2024-05-07,Site Próprio,RJ,Rio de Janeiro,Sudeste,6,Concluído
146,107,2025-12-14,Site Próprio,MG,Minas Gerais,Sudeste,6,Concluído
147,35,2024-08-03,Site Próprio,AM,Amazonas,Norte,1,Concluído
148,369,2025-03-16,Marketplace,RJ,Rio de Janeiro,Sudeste,2,Concluído
149,385,2024-02-11,Site Próprio,DF,Distrito Federal,Centro-Oeste,4,Concluído
150,38,2025-06-25,Site Próprio,BA,Bahia,Nordeste,3,Concluído
151,402,2024-04-22,Site Próprio,RS,Rio Grande do Sul,Sul,4,Concluído
152,522,2025-05-24,Site Próprio,SP,São Paulo,Sudeste,2,Cancelado
153,104,2025-12-08,Aplicativo,SP,São Paulo,Sudeste,6,Concluído
154,387,2025-04-13,Marketplace,SC,Santa Catarina,Sul,2,Concluído
155,367,2025-01-16,Site Próprio,RJ,Rio de Janeiro,Sudeste,2,Concluído
156,119,2024-03-09,Site Próprio,CE,Ceará,Nordeste,5,Concluído
157,339,2025-03-24,Marketplace,SP,São Paulo,Sudeste,3,Concluído
158,594,2025-05-22,Marketplace,RJ,Rio de Janeiro,Sudeste,5,Concluído
159,138,2025-09-25,Site Próprio,MG,Minas Gerais,Sudeste,2,Concluído
160,576,2024-11-25,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
161,27,2024-08-24,Site Próprio,SP,São Paulo,Sudeste,1,Cancelado
162,473,2024-12-10,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
163,72,2025-11-22,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
164,556,2025-07-23,Site Próprio,RS,Rio Grande do Sul,Sul,4,Concluído
165,567,2025-08-08,Site Próprio,RJ,Rio de Janeiro,Sudeste,2,Concluído
166,59,2025-01-06,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
167,461,2025-10-03,Site Próprio,MG,Minas Gerais,Sudeste,2,Concluído
168,87,2025-12-09,Aplicativo,SP,São Paulo,Sudeste,2,Concluído
169,329,2024-12-23,Site Próprio,MG,Minas Gerais,Sudeste,5,Concluído
170,648,2025-08-17,Site Próprio,GO,Goiás,Centro-Oeste,5,Concluído
171,471,2025-08-01,Aplicativo,RJ,Rio de Janeiro,Sudeste,3,Concluído
172,151,2025-11-16,Marketplace,PR,Paraná,Sul,6,Concluído
173,182,2025-12-08,Marketplace,SP,São Paulo,Sudeste,3,Cancelado
174,220,2024-05-06,Marketplace,RS,Rio Grande do Sul,Sul,4,Concluído
175,636,2024-12-22,Marketplace,SP,São Paulo,Sudeste,6,Concluído
176,311,2024-03-19,Marketplace,SP,São Paulo,Sudeste,6,Concluído
177,129,2025-10-07,Site Próprio,PR,Paraná,Sul,1,Concluído
178,483,2025-10-22,Marketplace,MG,Minas Gerais,Sudeste,3,Cancelado
179,454,2024-11-15,Marketplace,SP,São Paulo,Sudeste,6,Concluído
180,345,2024-05-09,Marketplace,MG,Minas Gerais,Sudeste,5,Concluído
181,360,2025-04-04,Site Próprio,CE,Ceará,Nordeste,5,Concluído
182,125,2025-10-17,Site Próprio,MA,Maranhão,Nordeste,4,Concluído
183,398,2025-11-25,Site Próprio,CE,Ceará,Nordeste,4,Concluído
184,465,2025-04-08,Site Próprio,RS,Rio Grande do Sul,Sul,3,Concluído
185,569,2024-12-05,Site Próprio,MG,Minas Gerais,Sudeste,5,Concluído
186,28,2025-08-16,Marketplace,ES,Espírito Santo,Sudeste,4,Concluído
187,315,2024-07-07,Site Próprio,MS,Mato Grosso do Sul,Centro-Oeste,5,Concluído
188,559,2025-03-20,Aplicativo,SC,Santa Catarina,Sul,1,Concluído
189,124,2025-04-19,Marketplace,SP,São Paulo,Sudeste,2,Concluído
190,348,2025-08-21,Marketplace,SC,Santa Catarina,Sul,3,Concluído
191,453,2025-12-14,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
192,248,2024-06-02,Marketplace,SP,São Paulo,Sudeste,6,Concluído
193,89,2025-02-11,Marketplace,RJ,Rio de Janeiro,Sudeste,3,Concluído
194,581,2024-11-07,Site Próprio,BA,Bahia,Nordeste,5,Concluído
195,42,2025-03-18,Site Próprio,RJ,Rio de Janeiro,Sudeste,3,Concluído
196,305,2024-03-26,Marketplace,SP,São Paulo,Sudeste,3,Concluído
197,403,2024-12-02,Marketplace,SP,São Paulo,Sudeste,1,Concluído
198,189,2025-05-05,Site Próprio,SC,Santa Catarina,Sul,6,Concluído
199,556,2024-10-03,Marketplace,RS,Rio Grande do Sul,Sul,1,Concluído
200,206,2025-05-21,Marketplace,BA,Bahia,Nordeste,1,Cancelado
201,307,2025-12-21,Site Próprio,PR,Paraná,Sul,1,Concluído
202,351,2025-11-09,Aplicativo,MA,Maranhão,Nordeste,2,Concluído
203,184,2024-11-22,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
204,213,2025-12-25,Marketplace,CE,Ceará,Nordeste,2,Concluído
205,78,2024-11-26,Aplicativo,AM,Amazonas,Norte,1,Concluído
206,559,2024-12-02,Site Próprio,SC,Santa Catarina,Sul,6,Concluído
207,563,2025-07-18,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
208,559,2025-01-05,Site Próprio,SC,Santa Catarina,Sul,6,Concluído
209,116,2024-12-09,Marketplace,PR,Paraná,Sul,1,Concluído
210,396,2024-06-20,Site Próprio,SC,Santa Catarina,Sul,5,Concluído
211,627,2025-05-16,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
212,287,2024-12-25,Site Próprio,MG,Minas Gerais,Sudeste,3,Concluído
213,408,2025-11-17,Aplicativo,SP,São Paulo,Sudeste,1,Concluído
214,355,2024-03-04,Marketplace,SP,São Paulo,Sudeste,4,Concluído
215,377,2025-01-03,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
216,91,2025-07-27,Marketplace,SP,São Paulo,Sudeste,1,Concluído
217,211,2025-11-20,Marketplace,ES,Espírito Santo,Sudeste,5,Concluído
218,32,2024-11-25,Aplicativo,CE,Ceará,Nordeste,1,Concluído
219,532,2025-11-14,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
220,190,2025-11-10,Site Próprio,SP,São Paulo,Sudeste,5,Cancelado
221,198,2025-10-25,Marketplace,SP,São Paulo,Sudeste,6,Concluído
222,500,2024-06-27,Site Próprio,MG,Minas Gerais,Sudeste,1,Concluído
223,372,2025-08-16,Site Próprio,BA,Bahia,Nordeste,4,Concluído
224,202,2024-12-13,Site Próprio,SP,São Paulo,Sudeste,5,Concluído
225,287,2025-09-25,Site Próprio,MG,Minas Gerais,Sudeste,3,Concluído
226,96,2024-04-06,Marketplace,PE,Pernambuco,Nordeste,2,Concluído
227,88,2024-05-21,Site Próprio,BA,Bahia,Nordeste,6,Concluído
228,472,2025-12-11,Marketplace,SC,Santa Catarina,Sul,5,Concluído
229,43,2024-11-18,Marketplace,SP,São Paulo,Sudeste,4,Concluído
230,466,2025-08-26,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
231,91,2024-08-27,Aplicativo,SP,São Paulo,Sudeste,4,Concluído
232,224,2025-05-18,Site Próprio,SC,Santa Catarina,Sul,3,Concluído
233,342,2025-11-16,Site Próprio,RS,Rio Grande do Sul,Sul,2,Concluído
234,484,2025-11-08,Marketplace,SP,São Paulo,Sudeste,5,Concluído
235,214,2024-06-22,Marketplace,PR,Paraná,Sul,1,Concluído
236,379,2024-02-13,Site Próprio,PR,Paraná,Sul,1,Concluído
237,583,2025-05-22,Marketplace,SP,São Paulo,Sudeste,4,Concluído
238,597,2025-10-07,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
239,549,2025-05-20,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
240,580,2024-06-17,Marketplace,RS,Rio Grande do Sul,Sul,4,Concluído
241,71,2025-11-02,Marketplace,SP,São Paulo,Sudeste,6,Concluído
242,570,2025-12-05,Marketplace,SP,São Paulo,Sudeste,3,Concluído
243,408,2025-06-04,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
244,326,2024-08-08,Marketplace,PR,Paraná,Sul,2,Concluído
245,223,2024-07-09,Aplicativo,GO,Goiás,Centro-Oeste,2,Concluído
246,113,2025-05-24,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
247,96,2025-11-18,Site Próprio,PE,Pernambuco,Nordeste,5,Concluído
248,555,2025-12-19,Marketplace,SP,São Paulo,Sudeste,2,Concluído
249,169,2025-04-05,Marketplace,SP,São Paulo,Sudeste,2,Concluído
250,294,2025-11-18,Marketplace,SP,São Paulo,Sudeste,6,Concluído
251,99,2024-05-07,Aplicativo,GO,Goiás,Centro-Oeste,4,Concluído
252,250,2024-12-06,Site Próprio,PE,Pernambuco,Nordeste,5,Concluído
253,522,2025-08-23,Marketplace,SP,São Paulo,Sudeste,5,Concluído
254,560,2024-01-06,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
255,338,2025-12-06,Site Próprio,RS,Rio Grande do Sul,Sul,2,Concluído
256,190,2025-10-05,Aplicativo,SP,São Paulo,Sudeste,4,Concluído
257,434,2025-07-06,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
258,609,2024-05-21,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Concluído
259,11,2024-05-18,Marketplace,SP,São Paulo,Sudeste,5,Concluído
260,330,2025-11-15,Marketplace,BA,Bahia,Nordeste,4,Concluído
261,608,2024-11-01,Marketplace,SP,São Paulo,Sudeste,1,Concluído
262,359,2025-11-16,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
263,188,2024-12-06,Marketplace,ES,Espírito Santo,Sudeste,4,Concluído
264,82,2024-03-16,Marketplace,MG,Minas Gerais,Sudeste,5,Concluído
265,132,2025-06-19,Site Próprio,MG,Minas Gerais,Sudeste,4,Concluído
266,68,2024-10-20,Site Próprio,RJ,Rio de Janeiro,Sudeste,4,Concluído
267,379,2025-12-11,Site Próprio,PR,Paraná,Sul,2,Concluído
268,38,2024-07-03,Site Próprio,BA,Bahia,Nordeste,2,Concluído
269,388,2024-11-15,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
270,416,2025-12-11,Site Próprio,PR,Paraná,Sul,6,Concluído
271,170,2024-04-10,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
272,240,2025-07-07,Site Próprio,SC,Santa Catarina,Sul,1,Concluído
273,248,2025-01-15,Marketplace,SP,São Paulo,Sudeste,2,Concluído
274,189,2024-12-23,Site Próprio,SC,Santa Catarina,Sul,6,Concluído
275,415,2024-11-12,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
276,252,2025-09-11,Site Próprio,RS,Rio Grande do Sul,Sul,3,Concluído
277,244,2024-03-24,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
278,608,2024-10-01,Marketplace,SP,São Paulo,Sudeste,3,Concluído
279,36,2025-06-10,Site Próprio,DF,Distrito Federal,Centro-Oeste,5,Concluído
280,421,2025-06-03,Marketplace,ES,Espírito Santo,Sudeste,1,Concluído
281,292,2025-11-16,Aplicativo,SP,São Paulo,Sudeste,6,Concluído
282,411,2025-04-27,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Concluído
283,631,2025-04-05,Marketplace,SP,São Paulo,Sudeste,2,Concluído
284,489,2025-05-20,Marketplace,MT,Mato Grosso,Centro-Oeste,1,Concluído
285,133,2025-08-12,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Concluído
286,512,2025-12-08,Site Próprio,RJ,Rio de Janeiro,Sudeste,5,Cancelado
287,176,2025-11-22,Site Próprio,GO,Goiás,Centro-Oeste,5,Concluído
288,649,2025-04-18,Site Próprio,PR,Paraná,Sul,2,Cancelado
289,457,2024-09-20,Marketplace,SP,São Paulo,Sudeste,4,Concluído
290,314,2025-08-03,Marketplace,BA,Bahia,Nordeste,5,Concluído
291,96,2024-11-25,Site Próprio,PE,Pernambuco,Nordeste,6,Concluído
292,601,2025-11-10,Site Próprio,BA,Bahia,Nordeste,5,Concluído
293,440,2025-09-16,Aplicativo,BA,Bahia,Nordeste,2,Concluído
294,578,2025-11-11,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
295,381,2024-10-05,Site Próprio,PR,Paraná,Sul,4,Concluído
296,364,2025-10-21,Site Próprio,GO,Goiás,Centro-Oeste,6,Concluído
297,614,2025-01-19,Marketplace,SP,São Paulo,Sudeste,1,Concluído
298,177,2025-11-03,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
299,84,2025-01-10,Site Próprio,GO,Goiás,Centro-Oeste,2,Concluído
300,340,2025-08-16,Marketplace,BA,Bahia,Nordeste,4,Concluído
301,606,2025-10-01,Aplicativo,SP,São Paulo,Sudeste,4,Concluído
302,560,2024-06-25,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
303,373,2025-08-01,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
304,542,2024-08-24,Marketplace,RJ,Rio de Janeiro,Sudeste,1,Concluído
305,147,2025-08-20,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
306,459,2024-12-19,Site Próprio,SP,São Paulo,Sudeste,2,Concluído
307,287,2024-06-27,Site Próprio,MG,Minas Gerais,Sudeste,6,Cancelado
308,390,2025-12-17,Marketplace,SP,São Paulo,Sudeste,3,Concluído
309,480,2025-10-06,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
310,526,2025-09-02,Marketplace,SP,São Paulo,Sudeste,1,Cancelado
311,97,2024-10-11,Site Próprio,SC,Santa Catarina,Sul,1,Concluído
312,153,2025-02-01,Aplicativo,GO,Goiás,Centro-Oeste,5,Concluído
313,599,2024-11-12,Aplicativo,SC,Santa Catarina,Sul,4,Concluído
314,292,2025-11-23,Marketplace,SP,São Paulo,Sudeste,1,Concluído
315,593,2025-08-25,Marketplace,BA,Bahia,Nordeste,5,Concluído
316,326,2024-05-13,Site Próprio,PR,Paraná,Sul,6,Concluído
317,607,2025-11-15,Site Próprio,RJ,Rio de Janeiro,Sudeste,6,Concluído
318,149,2025-02-25,Site Próprio,SP,São Paulo,Sudeste,1,Concluído
319,605,2025-12-11,Marketplace,PE,Pernambuco,Nordeste,1,Concluído
320,210,2025-07-26,Site Próprio,MG,Minas Gerais,Sudeste,5,Concluído
321,463,2024-05-13,Aplicativo,RJ,Rio de Janeiro,Sudeste,5,Concluído
322,608,2024-10-27,Marketplace,SP,São Paulo,Sudeste,3,Concluído
323,86,2025-10-22,Marketplace,RS,Rio Grande do Sul,Sul,3,Concluído
324,617,2024-11-13,Site Próprio,BA,Bahia,Nordeste,1,Concluído
325,1,2024-11-15,Site Próprio,SC,Santa Catarina,Sul,6,Concluído
326,233,2025-11-27,Marketplace,SP,São Paulo,Sudeste,3,Concluído
327,546,2024-12-11,Site Próprio,SP,São Paulo,Sudeste,6,Concluído
328,342,2024-12-05,Aplicativo,RS,Rio Grande do Sul,Sul,3,Concluído
329,413,2025-06-14,Site Próprio,PE,Pernambuco,Nordeste,1,Concluído
330,362,2025-11-01,Marketplace,BA,Bahia,Nordeste,1,Concluído
331,602,2025-12-09,Marketplace,PE,Pernambuco,Nordeste,5,Concluído
332,599,2025-08-05,Site Próprio,SC,Santa Catarina,Sul,2,Concluído
333,268,2025-09-19,Site Próprio,SP,São Paulo,Sudeste,4,Concluído
334,468,2024-09-25,Marketplace,SP,São Paulo,Sudeste,3,Concluído
335,409,2024-03-18,Marketplace,SP,São Paulo,Sudeste,4,Concluído
336,502,2025-12-14,Site Próprio,GO,Goiás,Centro-Oeste,6,Concluído
337,494,2025-03-25,Marketplace,MA,Maranhão,Nordeste,2,Concluído
338,298,2024-12-07,Site Próprio,CE,Ceará,Nordeste,2,Cancelado
339,631,2024-12-13,Site Próprio,SP,São Paulo,Sudeste,3,Concluído
340,399,2025-11-25,Marketplace,SC,Santa Catarina,Sul,5,Concluído
341,209,2025-11-11,Marketplace,SP,São Paulo,Sudeste,5,Concluído
342,97,2024-05-02,Site Próprio,SC,Santa Catarina,Sul,3,Concluído
343,342,2024-05-01,Marketplace,RS,Rio Grande do Sul,Sul,2,Concluído
