pedido_id,item_id,cliente_id,produto_id,data_pedido,UF_Sigla,canal_venda,vendedor_id,quantidade,preco_unitario,desconto_percentual,custo_unitario,status_pedido
2495,4599,11,36,2024-12-14,SP,Site Próprio,6,2,105.65,0.2071,66.1,Concluído
1006,1807,577,14,2024-08-18,SP,Marketplace,6,1,142.46,0.1946,105.23,Concluído
588,1062,46,38,2025-06-05,SP,Marketplace,6,2,78.25,0.207,48.05,Concluído
1275,2307,322,46,2025-11-01,CE,Site Próprio,1,2,165.44,0.0383,81.26,Concluído
369,665,14,32,2025-04-24,DF,Marketplace,2,1,211.46,0.0697,130.06,Concluído
2117,3901,329,30,2024-09-07,MG,Marketplace,6,2,268.55,0.0664,145.7,Concluído
1464,2668,96,28,2025-03-09,PE,Site Próprio,5,1,302.07,0.0903,142.78,Concluído
230,427,466,46,2025-08-26,SP,Site Próprio,6,1,133.92,0.2137,81.26,Concluído
2085,3840,437,26,2024-11-06,RJ,Site Próprio,1,1,412.57,0.0869,164.45,Concluído
2341,4318,115,21,2025-02-12,MG,Marketplace,3,2,154.26,0.0589,94.68,Concluído
1038,1874,427,6,2025-12-12,PR,Site Próprio,6,1,64.57,0.0758,52.6,Concluído
2245,4139,532,32,2025-09-02,SP,Site Próprio,5,1,231.1,0.2156,130.06,Concluído
2255,4158,12,32,2025-12-07,DF,Site Próprio,6,2,271.88,0.0611,130.06,Concluído
2565,4725,180,3,2025-06-27,SP,Site Próprio,5,1,57.96,0.2196,26.91,Concluído
236,434,379,47,2024-02-13,PR,Site Próprio,1,1,209.56,0.0907,89.54,Concluído
175,329,636,9,2024-12-22,SP,Marketplace,6,1,239.17,0.1699,108.49,Concluído
2531,4666,57,41,2024-12-12,RS,Marketplace,1,1,353.33,0.1031,180.53,Concluído
1922,3525,73,50,2024-03-12,SP,Marketplace,6,3,242.17,0.213,118.05,Cancelado
1912,3512,621,37,2025-12-21,PR,Marketplace,5,1,122.48,0.0323,61.9,Concluído
939,1699,613,46,2025-11-21,PR,Site Próprio,5,1,134.22,0.0309,81.26,Concluído
221,408,198,1,2025-10-25,SP,Marketplace,6,1,139.81,0.2904,91.78,Concluído
1184,2130,368,22,2024-04-02,SP,Site Próprio,3,1,187.39,0.24,88.13,Concluído
1850,3391,350,50,2025-01-02,PR,Site Próprio,1,1,181.63,0.069,118.05,Concluído
2179,4016,166,47,2025-03-23,RJ,Site Próprio,2,1,169.65,0.1166,89.54,Concluído
340,617,399,29,2025-11-25,SC,Marketplace,5,1,96.44,0.0435,78.75,Concluído
1130,2037,323,21,2024-12-01,MG,Site Próprio,5,2,145.69,0.1043,94.68,Concluído
377,679,10,43,2025-11-20,PE,Site Próprio,2,1,392.82,0.09,182.69,Concluído
520,941,288,36,2024-09-18,PR,Site Próprio,1,2,78.26,0.03,66.1,Concluído
1150,2070,335,26,2025-11-16,SP,Site Próprio,4,3,229.2,0.1756,164.45,Concluído
273,501,248,5,2025-01-15,SP,Marketplace,2,1,220.58,0.1733,185.65,Concluído
943,1703,85,31,2025-04-14,MT,Site Próprio,1,1,69.14,0.0409,39.52,Concluído
2546,4687,110,20,2024-06-23,SP,Marketplace,4,3,80.05,0.2071,55.18,Concluído
355,641,110,21,2025-03-23,SP,Marketplace,3,1,107.92,0.2387,94.68,Cancelado
2319,4276,234,16,2025-09-12,MG,Site Próprio,5,1,234.62,0.0459,150.82,Concluído
1476,2687,486,51,2025-11-04,SP,Site Próprio,1,1,267.51,0.2391,201.19,Concluído
2431,4478,147,5,2025-05-27,SP,Aplicativo,2,1,220.58,0.2299,185.65,Concluído
570,1033,300,13,2025-11-27,BA,Site Próprio,3,1,89.32,0.048,77.45,Concluído
39,79,525,13,2024-03-15,RS,Site Próprio,2,1,99.24,0.054,77.45,Concluído
2579,4750,219,23,2024-11-18,GO,Marketplace,6,1,92.37,0.2137,43.89,Concluído
1251,2262,427,48,2025-05-09,PR,Site Próprio,4,1,169.67,0.0358,66.62,Cancelado
1582,2868,561,5,2025-08-19,SP,Marketplace,6,1,173.01,0.1841,185.65,Cancelado
2593,4773,114,8,2025-03-01,PA,Marketplace,4,1,72.36,,43.6,Concluído
1819,3329,419,1,2025-11-05,SP,Marketplace,2,1,164.12,0.2778,91.78,Concluído
1412,2568,607,7,2024-11-17,RJ,Marketplace,3,1,226.15,0.1497,103.55,Concluído
411,745,403,7,2025-11-26,SP,Marketplace,5,3,197.88,0.2207,103.55,Concluído
2291,4225,171,8,2025-12-07,SP,Site Próprio,4,1,53.48,0.2357,43.6,Concluído
2328,4291,342,1,2025-09-05,RS,Site Próprio,2,3,188.74,0.163,91.78,Concluído
1214,2190,548,36,2024-04-16,MT,Site Próprio,3,1,130.51,0.0352,66.1,Concluído
2293,4229,568,13,2024-11-09,BA,Aplicativo,6,1,133.97,0.0976,77.45,Concluído
1191,2143,641,34,2024-08-21,BA,Marketplace,2,1,78.34,0.104,37.12,Concluído
448,808,428,53,2025-02-25,MS,Site Próprio,2,2,270.7,0.0927,152.79,Concluído
917,1662,258,2,2025-05-25,SP,Aplicativo,2,1,376.29,0.1606,137.72,Concluído
1230,2223,308,24,2024-11-26,BA,Marketplace,6,1,386.28,0.034,217.31,Concluído
2564,4724,332,53,2024-07-22,PR,Site Próprio,4,1,334.39,0.0991,152.79,Concluído
542,982,196,7,2024-10-12,SP,Aplicativo,6,1,167.52,0.2042,103.55,Concluído
1302,2359,555,31,2025-05-16,SP,Aplicativo,1,1,81.16,0.2013,39.52,Concluído
2555,4704,300,21,2025-11-11,BA,Aplicativo,3,1,154.26,0.0371,94.68,Concluído
2167,3990,504,29,2024-07-27,SP,Site Próprio,6,2,151.89,0.1983,78.75,Concluído
514,930,100,1,2025-03-13,SP,Site Próprio,3,1,109.41,0.2887,91.78,Concluído
2634,4857,322,50,2025-03-06,CE,Site Próprio,1,1,211.9,0.0656,118.05,Concluído
1609,2924,554,36,2025-07-14,RS,Site Próprio,5,1,82.86,0.0566,66.1,Concluído
225,416,287,42,2025-09-25,MG,Site Próprio,3,1,80.66,0.0512,37.56,Concluído
1968,3618,550,11,2024-12-14,PR,Site Próprio,5,1,209.09,0.0473,139.55,Concluído
1761,3215,184,32,2025-08-26,SP,Marketplace,5,1,285.47,0.2168,130.06,Concluído
1296,2351,461,8,2024-11-01,MG,Site Próprio,2,1,66.07,0.0483,43.6,Concluído
2182,4024,132,41,2024-04-16,MG,Marketplace,2,2,392.59,0.0807,180.53,Cancelado
1392,2520,298,7,2025-01-11,CE,Marketplace,5,1,188.46,0.0342,103.55,Concluído
1901,3488,82,9,2025-05-10,MG,Site Próprio,3,1,239.17,0.0672,108.49,Concluído
517,935,13,6,2025-04-24,SP,Site Próprio,5,1,59.08,0.1947,52.6,Concluído
441,799,80,50,2025-09-05,CE,Site Próprio,3,2,134.54,0.0484,118.05,Concluído
201,373,307,52,2025-12-21,PR,Site Próprio,1,2,162.62,0.0947,115.34,Concluído
368,662,547,46,2024-11-03,SP,Marketplace,5,1,99.2,0.1885,81.26,Concluído
2018,3719,461,17,2025-02-19,MG,Site Próprio,5,1,216.64,0.1585,127.08,Concluído
2313,4264,494,35,2025-10-14,MA,Marketplace,4,2,176.61,0.0852,79.44,Concluído
742,1338,582,13,2024-05-25,BA,Marketplace,5,1,84.35,0.0821,77.45,Concluído
1712,3118,115,12,2025-02-27,MG,Marketplace,2,1,419.47,0.098,209.52,Concluído
634,1145,75,39,2025-12-25,PR,Marketplace,5,1,520.48,,144.85,Concluído
2430,4476,160,46,2025-02-16,MG,Marketplace,1,1,133.92,0.0878,81.26,Concluído
1985,3650,133,47,2024-11-16,RJ,Marketplace,5,2,169.65,0.1075,89.54,Concluído
103,196,440,23,2025-09-26,BA,Marketplace,4,1,80.83,0.1605,43.89,Concluído
199,371,556,33,2024-10-03,RS,Marketplace,1,2,230.81,0.0819,122.16,Concluído
1384,2506,82,1,2025-06-14,MG,Site Próprio,4,1,172.33,0.1316,91.78,Concluído
362,654,644,22,2025-09-20,PE,Site Próprio,3,1,160.62,0.0957,88.13,Concluído
102,195,294,6,2025-10-11,SP,Site Próprio,3,1,68.37,0.2201,52.6,Concluído
1626,2954,556,1,2025-03-04,RS,Marketplace,1,1,164.12,0.1844,91.78,Concluído
1636,2972,142,11,2025-09-02,RJ,Marketplace,6,1,221.39,,139.55,Concluído
2537,4677,646,12,2024-11-15,SP,Site Próprio,5,3,489.38,0.1778,209.52,Concluído
1836,3360,164,20,2024-04-08,BA,Site Próprio,4,2,84.76,0.0556,55.18,Concluído
224,413,202,5,2024-12-13,SP,Site Próprio,5,2,201.84,,185.65,Concluído
995,1789,216,35,2024-05-11,RJ,Marketplace,2,1,161.25,0.1209,79.44,Concluído
1789,3272,289,45,2025-03-14,MS,Site Próprio,5,1,83.87,0.0329,39.57,Concluído
1277,2312,221,26,2025-08-18,SP,Marketplace,1,3,267.4,0.2278,164.45,Cancelado
227,420,88,5,2024-05-21,BA,Site Próprio,6,1,272.49,0.0811,185.65,Concluído
1811,3312,351,17,2025-03-08,MA,Site Próprio,3,2,185.69,0.2142,127.08,Concluído
732,1321,359,32,2025-03-26,SP,Marketplace,1,2,271.88,0.1831,130.06,Concluído
26,55,40,23,2024-07-09,BA,Site Próprio,2,1,57.02,0.2012,43.89,Concluído
1090,1967,211,43,2025-08-14,ES,Site Próprio,5,1,333.9,0.0605,182.69,Concluído
1433,2610,542,28,2025-11-03,RJ,Site Próprio,5,1,262.67,0.1458,142.78,Concluído
2470,4553,96,6,2025-09-10,PE,Aplicativo,5,1,87.36,0.0917,52.6,Concluído
1729,3154,482,24,2025-11-09,SP,Marketplace,2,1,409.01,0.1727,217.31,Concluído
112,211,535,43,2025-11-15,PE,Site Próprio,4,1,333.9,0.103,182.69,Concluído
1491,2713,190,50,2024-12-15,SP,Site Próprio,1,1,211.9,0.1999,118.05,Concluído
1906,3499,374,33,2025-01-14,SP,Aplicativo,1,2,207.73,0.1995,122.16,Concluído
1651,2999,645,21,2025-11-17,MS,Site Próprio,2,3,145.69,0.0829,94.68,Concluído
632,1142,650,40,2024-12-17,CE,Site Próprio,5,1,102.82,0.0759,53.25,Concluído
955,1722,36,50,2025-02-10,DF,Site Próprio,4,2,211.9,0.0702,118.05,Concluído
257,475,434,24,2025-07-06,SP,Site Próprio,4,1,336.63,0.1667,217.31,Concluído
244,447,326,36,2024-08-08,PR,Marketplace,2,1,105.65,0.0471,66.1,Concluído
1430,2604,538,17,2024-11-21,RJ,Site Próprio,4,1,216.64,0.2218,127.08,Concluído
2001,3683,14,5,2024-05-02,DF,Site Próprio,4,2,272.49,0.0947,185.65,Concluído
1510,2740,122,40,2025-08-05,MS,Marketplace,4,1,138.8,0.0884,53.25,Concluído
351,636,41,30,2025-03-21,BA,Site Próprio,4,1,280.84,0.0675,145.7,Concluído
858,1558,224,16,2024-07-01,SC,Site Próprio,1,2,248.42,0.0392,150.82,Concluído
760,1375,96,46,2024-07-01,PE,Site Próprio,5,1,181.19,0.0691,81.26,Concluído
2170,3998,579,14,2025-12-15,SP,Marketplace,3,2,183.17,0.2197,105.23,Concluído
1309,2371,240,5,2025-12-18,SC,Aplicativo,4,3,259.51,0.036,185.65,Concluído
516,933,520,17,2025-07-16,SP,Aplicativo,4,1,160.47,0.3316,127.08,Concluído
1482,2700,370,18,2025-05-03,RJ,Site Próprio,6,1,583.5,0.146,173.9,Concluído
2536,4673,435,5,2025-12-21,RS,Aplicativo,6,1,163.4,0.0788,185.65,Concluído
1178,2117,160,52,2024-09-06,MG,Marketplace,3,1,219.54,0.0729,115.34,Concluído
2496,4600,70,49,2025-12-25,MS,Site Próprio,6,1,150.0,0.0471,73.39,Concluído
1261,2282,422,8,2024-06-09,SP,Site Próprio,1,2,53.48,,43.6,Concluído
1725,3143,68,32,2024-11-09,RJ,Site Próprio,3,1,271.88,0.0922,130.06,Concluído
661,1189,308,25,2025-05-06,BA,Site Próprio,2,1,29.07,0.0341,16.13,Concluído
576,1043,437,22,2025-07-20,RJ,Site Próprio,6,3,289.12,0.1381,88.13,Concluído
1591,2890,61,26,2025-06-17,SP,Marketplace,4,3,229.2,0.2285,164.45,Concluído
1360,2467,513,36,2025-07-14,SP,Site Próprio,4,1,78.26,0.2062,66.1,Concluído
1133,2041,295,46,2025-10-16,BA,Aplicativo,3,1,141.8,0.0445,81.26,Concluído
1390,2517,315,23,2025-01-05,MS,Aplicativo,6,1,92.37,0.1424,43.89,Cancelado
2379,4376,361,6,2025-01-02,SP,Marketplace,5,2,91.16,0.2052,52.6,Concluído
997,1794,26,43,2025-03-20,SP,Aplicativo,3,1,412.46,,182.69,Concluído
2273,4191,485,13,2025-12-26,RS,Site Próprio,1,1,133.97,0.036,77.45,Concluído
1767,3231,313,7,2024-06-07,SP,Marketplace,2,2,160.19,0.1955,103.55,Concluído
839,1522,317,32,2025-10-20,SC,Site Próprio,2,1,285.47,0.0868,130.06,Concluído
425,771,315,17,2024-08-25,MS,Site Próprio,4,1,247.58,0.134,127.08,Concluído
374,673,4,35,2024-11-01,SP,Marketplace,1,1,113.76,0.2245,79.44,Concluído
775,1407,87,6,2025-07-21,SP,Marketplace,4,1,75.96,0.2251,52.6,Concluído
173,326,182,24,2025-12-08,SP,Marketplace,3,2,286.14,0.1861,217.31,Cancelado
210,388,396,46,2024-06-20,SC,Site Próprio,5,1,105.04,0.0682,81.26,Concluído
99,189,490,19,2025-02-22,SP,Marketplace,5,1,376.26,0.1675,137.57,Concluído
1538,2788,345,1,2024-11-19,MG,Marketplace,3,1,147.71,0.1798,91.78,Concluído
597,1078,558,5,2025-11-14,PA,Marketplace,1,2,192.23,0.0851,185.65,Cancelado
1317,2388,378,44,2024-10-14,RJ,Aplicativo,5,1,191.7,0.1414,119.7,Concluído
1432,2608,436,9,2025-01-11,MA,Marketplace,2,1,193.62,0.0958,108.49,Concluído
1880,3448,499,6,2025-11-10,SP,Site Próprio,2,1,47.83,0.2228,52.6,Concluído
168,319,87,8,2025-12-09,SP,Aplicativo,2,1,46.61,0.1737,43.6,Concluído
525,952,8,31,2025-11-12,SP,Site Próprio,4,2,51.1,0.2308,39.52,Concluído
2615,4815,471,46,2025-11-24,RJ,Marketplace,5,1,157.56,0.0892,81.26,Concluído
1285,2326,360,17,2024-04-22,CE,Marketplace,1,2,185.69,0.1835,127.08,Concluído
1909,3505,256,31,2024-09-02,RJ,Site Próprio,5,2,68.99,,39.52,Concluído
1646,2990,212,16,2025-12-13,MG,Site Próprio,5,1,276.02,0.0899,150.82,Concluído
954,1721,379,18,2024-06-17,PR,Site Próprio,1,2,680.75,0.0737,173.9,Concluído
2191,4040,497,17,2025-06-05,PE,Marketplace,6,2,216.64,0.222,127.08,Concluído
362,652,644,5,2025-09-20,PE,Site Próprio,3,1,173.01,0.0841,185.65,Concluído
2286,4215,472,23,2025-09-27,SC,Site Próprio,5,1,92.37,0.1925,43.89,Concluído
2561,4720,422,42,2024-12-23,SP,Site Próprio,2,1,57.13,0.1954,37.56,Concluído
1120,2020,319,38,2024-12-01,MG,Site Próprio,3,1,105.64,0.0385,48.05,Concluído
2225,4098,438,12,2024-06-16,MG,Marketplace,4,1,489.38,0.081,209.52,Concluído
120,230,199,1,2025-10-13,SP,Site Próprio,3,1,103.33,0.314,91.78,Concluído
2258,4165,216,52,2025-11-16,RJ,Site Próprio,2,1,271.2,0.1162,115.34,Concluído
1606,2917,437,5,2025-05-08,RJ,Marketplace,2,2,311.41,0.12,185.65,Concluído
344,626,238,8,2025-06-11,RJ,Marketplace,5,1,39.62,0.0821,43.6,Concluído
2329,4294,114,8,2025-12-15,PA,Site Próprio,2,2,72.36,0.0667,43.6,Concluído
309,563,480,25,2025-10-06,SP,Site Próprio,1,1,21.53,0.182,16.13,Concluído
243,445,408,3,2025-06-04,SP,Site Próprio,6,1,52.16,0.2244,26.91,Concluído
2276,4199,346,6,2024-03-05,SP,Site Próprio,3,1,91.16,0.2148,52.6,Concluído
1738,3171,295,52,2025-10-05,BA,Aplicativo,3,2,232.45,0.0516,115.34,Concluído
2110,3890,133,43,2025-11-18,RJ,Site Próprio,5,1,333.9,0.1018,182.69,Concluído
485,874,352,5,2024-09-27,SP,Site Próprio,5,1,272.49,0.1759,185.65,Concluído
1753,3198,138,3,2025-12-25,MG,Marketplace,5,1,60.85,0.0533,26.91,Concluído
486,877,403,6,2025-11-07,SP,Site Próprio,2,1,79.76,0.1601,52.6,Concluído
1083,1954,650,19,2025-10-11,CE,Site Próprio,3,2,609.54,0.0826,137.57,Cancelado
2048,3772,491,32,2025-11-11,RJ,Marketplace,2,1,285.47,0.095,130.06,Cancelado
2524,4655,286,8,2025-12-12,PR,Site Próprio,2,1,72.36,0.035,43.6,Concluído
403,724,118,36,2024-04-19,RS,Marketplace,6,1,82.86,0.0945,66.1,Concluído
2025,3731,472,30,2024-11-04,SC,Marketplace,6,2,379.13,0.0549,145.7,Concluído
686,1237,311,17,2024-05-01,SP,Site Próprio,2,1,237.27,0.2671,127.08,Concluído
1353,2453,12,7,2025-10-25,DF,Site Próprio,6,3,188.46,0.0392,103.55,Concluído
1835,3357,299,16,2025-12-27,BA,Aplicativo,2,1,317.42,0.1017,150.82,Concluído
1121,2022,377,48,2024-07-16,SP,Site Próprio,1,1,169.67,0.1873,66.62,Concluído
1408,2559,161,45,2024-05-15,RJ,Site Próprio,6,3,61.99,0.0956,39.57,Concluído
1742,3179,229,41,2024-06-24,MS,Site Próprio,3,1,333.7,0.0835,180.53,Concluído
1403,2544,540,7,2024-11-15,PR,Aplicativo,2,1,169.61,0.0869,103.55,Concluído
82,162,639,20,2025-10-23,DF,Marketplace,3,1,83.71,0.0532,55.18,Concluído
1477,2692,407,5,2025-08-20,MG,Site Próprio,3,1,173.01,0.0649,185.65,Concluído
442,800,482,41,2024-07-16,SP,Site Próprio,5,2,261.73,0.1702,180.53,Concluído
1550,2808,346,1,2025-07-24,SP,Marketplace,4,2,196.94,0.2621,91.78,Cancelado
701,1263,247,53,2024-07-15,DF,Marketplace,1,1,200.52,0.0401,152.79,Concluído
932,1685,564,47,2025-12-05,DF,Site Próprio,3,1,199.58,0.0772,89.54,Concluído
2462,4536,618,12,2025-04-05,SP,Site Próprio,5,2,396.16,0.1622,209.52,Concluído
2009,3700,318,45,2024-03-01,PE,Marketplace,1,1,61.99,0.0997,39.57,Concluído
1397,2532,46,12,2025-03-17,SP,Site Próprio,4,3,466.07,0.1793,209.52,Concluído
2055,3784,139,5,2025-12-16,RS,Site Próprio,2,2,311.41,0.0964,185.65,Cancelado
2424,4465,475,50,2025-12-19,RJ,Marketplace,1,3,201.81,0.1214,118.05,Concluído
1124,2029,358,6,2024-10-15,DF,Marketplace,6,1,64.57,0.074,52.6,Concluído
2507,4624,82,47,2025-06-06,MG,Site Próprio,2,1,209.56,0.0711,89.54,Cancelado
934,1689,11,34,2024-02-22,SP,Site Próprio,2,1,78.34,,37.12,Concluído
748,1354,477,34,2025-11-02,RJ,Site Próprio,6,1,82.95,0.0786,37.12,Concluído
502,910,70,37,2025-10-17,MS,Marketplace,4,1,127.8,0.0947,61.9,Concluído
2553,4699,370,8,2024-12-26,RJ,Site Próprio,5,1,56.63,0.0714,43.6,Concluído
763,1383,170,48,2025-11-02,SP,Site Próprio,4,1,169.67,0.2098,66.62,Concluído
894,1626,3,5,2025-11-21,PE,Site Próprio,1,1,233.56,0.0927,185.65,Concluído
1471,2680,441,1,2024-09-02,RJ,Aplicativo,6,1,172.33,0.1703,91.78,Concluído
1577,2854,645,27,2025-08-17,MS,Site Próprio,2,3,142.77,0.0684,88.49,Concluído
161,306,27,5,2024-08-24,SP,Site Próprio,1,2,192.23,0.1721,185.65,Cancelado
2201,4057,572,6,2024-09-16,MG,Site Próprio,1,2,91.16,0.097,52.6,Concluído
1712,3116,115,34,2025-02-27,MG,Marketplace,2,2,82.95,0.0822,37.12,Concluído
370,666,438,6,2025-01-09,MG,Site Próprio,4,3,59.08,0.1089,52.6,Concluído
794,1442,454,38,2025-12-07,SP,Site Próprio,3,1,121.48,0.1806,48.05,Concluído
2509,4627,531,52,2025-11-13,SP,Aplicativo,6,1,258.28,0.1835,115.34,Concluído
2005,3692,208,28,2025-02-26,PR,Site Próprio,6,2,262.67,0.064,142.78,Concluído
2384,4388,257,1,2025-10-06,MG,Site Próprio,2,1,164.12,0.203,91.78,Concluído
1826,3340,462,5,2024-08-19,MG,Site Próprio,4,1,220.58,0.0486,185.65,Cancelado
1430,2603,538,5,2024-11-21,RJ,Site Próprio,4,1,272.49,0.1007,185.65,Concluído
2520,4649,240,8,2025-08-01,SC,Marketplace,2,1,62.92,,43.6,Concluído
1443,2630,399,1,2025-11-07,SC,Site Próprio,5,1,147.71,0.1633,91.78,Concluído
2315,4269,184,31,2025-12-07,SP,Site Próprio,1,1,85.22,0.1868,39.52,Concluído
653,1171,246,5,2025-11-20,PR,Site Próprio,6,2,163.4,0.0843,185.65,Concluído
1899,3482,205,5,2024-12-24,CE,Site Próprio,3,1,220.58,0.0904,185.65,Concluído
383,688,333,3,2025-09-08,SC,Site Próprio,6,1,36.49,,26.91,Concluído
324,589,617,35,2024-11-13,BA,Site Próprio,1,1,96.7,0.0852,79.44,Concluído
1807,3304,362,36,2025-06-14,BA,Site Próprio,4,1,149.15,0.105,66.1,Concluído
2038,3757,648,42,2025-09-24,GO,Site Próprio,6,1,67.22,0.0715,37.56,Concluído
2388,4398,329,8,2024-04-09,MG,Site Próprio,3,1,53.48,0.1055,43.6,Concluído
1688,3068,488,1,2025-08-09,RJ,Site Próprio,5,1,139.5,0.2319,91.78,Concluído
729,1314,385,5,2024-04-01,DF,Site Próprio,5,1,259.51,0.0337,185.65,Concluído
1003,1803,457,12,2025-05-19,SP,Site Próprio,6,3,489.38,0.2248,209.52,Concluído
846,1538,350,38,2024-12-16,PR,Marketplace,4,1,95.07,0.0653,48.05,Concluído
1241,2243,214,47,2024-10-11,PR,Site Próprio,6,2,229.52,0.0964,89.54,Concluído
604,1091,177,19,2025-11-06,SP,Site Próprio,6,1,533.35,0.1875,137.57,Concluído
357,645,92,17,2025-01-10,RS,Site Próprio,1,1,129.91,0.1762,127.08,Concluído
3,5,20,35,2025-03-01,SP,Marketplace,4,1,119.45,0.1995,79.44,Concluído
1116,2014,642,49,2025-12-10,RJ,Site Próprio,2,1,111.11,0.1442,73.39,Concluído
2413,4444,339,31,2025-05-25,SP,Site Próprio,2,2,81.16,0.1907,39.52,Concluído
231,428,91,30,2024-08-27,SP,Aplicativo,4,1,268.55,0.2177,145.7,Concluído
2557,4713,560,13,2025-11-08,SP,Site Próprio,6,1,120.58,0.2064,77.45,Concluído
2063,3798,455,47,2025-06-11,ES,Site Próprio,2,1,179.63,0.0446,89.54,Concluído
1219,2201,296,37,2024-11-22,DF,Marketplace,6,2,78.89,,61.9,Concluído
1236,2235,497,14,2024-07-16,PE,Aplicativo,2,1,192.33,0.0657,105.23,Concluído
1392,2521,298,23,2025-01-11,CE,Marketplace,5,1,76.98,0.119,43.89,Concluído
327,595,546,1,2024-12-11,SP,Site Próprio,6,1,103.33,0.3426,91.78,Concluído
1616,2939,26,3,2025-05-22,SP,Site Próprio,5,1,60.85,0.2267,26.91,Concluído
791,1437,188,5,2025-08-13,ES,Site Próprio,3,1,220.58,0.072,185.65,Concluído
2215,4083,27,8,2025-05-07,SP,Aplicativo,1,1,62.92,,43.6,Concluído
2329,4292,114,4,2025-12-15,PA,Site Próprio,2,3,312.39,0.0685,160.15,Concluído
353,639,57,5,2024-10-17,RS,Marketplace,3,1,173.01,0.0529,185.65,Concluído
1635,2970,390,30,2025-11-17,SP,Site Próprio,4,1,331.74,0.1662,145.7,Concluído
2229,4109,310,17,2024-10-11,RS,Site Próprio,6,3,175.37,0.1484,127.08,Concluído
1614,2934,298,9,2025-09-21,CE,Site Próprio,5,2,227.79,,108.49,Concluído
2509,4630,531,21,2025-11-13,SP,Aplicativo,6,3,171.4,0.2179,94.68,Concluído
2273,4190,485,31,2025-12-26,RS,Site Próprio,1,1,81.16,0.0495,39.52,Concluído
960,1731,280,8,2025-09-23,GO,Aplicativo,3,1,53.48,0.0691,43.6,Concluído
2052,3779,390,8,2024-03-24,SP,Marketplace,1,2,66.07,0.1855,43.6,Concluído
1634,2969,383,6,2025-04-13,CE,Marketplace,4,1,79.76,0.1011,52.6,Concluído
1673,3041,49,5,2024-11-23,RS,Site Próprio,1,1,201.84,0.0974,185.65,Cancelado
1760,3211,367,38,2025-06-24,RJ,Aplicativo,3,2,89.79,0.1374,48.05,Concluído
2443,4501,318,12,2024-02-22,PE,Marketplace,6,1,396.16,0.1031,209.52,Concluído
510,922,607,37,2025-05-03,RJ,Marketplace,3,1,127.8,0.079,61.9,Concluído
2047,3770,395,6,2024-09-26,RJ,Site Próprio,1,3,91.16,0.0967,52.6,Concluído
1327,2407,235,6,2025-09-12,RJ,Site Próprio,2,2,75.96,0.0918,52.6,Concluído
1698,3092,428,26,2025-07-14,MS,Marketplace,2,1,292.23,0.0651,164.45,Concluído
1426,2595,519,42,2024-11-09,RJ,Site Próprio,4,2,57.13,0.0959,37.56,Cancelado
1440,2624,118,18,2024-12-10,RS,Marketplace,3,1,583.5,0.0971,173.9,Concluído
250,460,294,8,2025-11-18,SP,Marketplace,6,1,56.63,0.2362,43.6,Concluído
2387,4394,257,22,2025-10-08,MG,Site Próprio,4,1,240.93,0.0489,88.13,Concluído
2197,4050,382,3,2025-07-01,SP,Site Próprio,1,1,57.96,0.2174,26.91,Concluído
