ID_Pedido,ID_Item,ID_Cliente,ID_Produto,Estado_Extenso,Canal,ID_Vendedor,Qtd,Preco_Unit,Custo_Unit,Status,Data_Venda_BR,Desconto_Reais
1411,2567,331,48,Ceará,Marketplace,5,1,155.25,66.62,Concluído,19/11/2025,11.95
746,1349,412,25,São Paulo,Site Próprio,3,1,34.2,16.13,Concluído,10/11/2025,5.6
827,1503,227,21,São Paulo,Marketplace,1,1,171.4,94.68,Concluído,22/03/2025,40.95
2154,3962,243,23,São Paulo,Site Próprio,2,1,76.98,43.89,Concluído,25/10/2025,22.29
919,1666,566,40,Goiás,Site Próprio,1,1,98.32,53.25,Concluído,04/11/2025,8.65
2032,3743,322,30,Ceará,Marketplace,3,1,331.74,145.7,Concluído,02/07/2024,20.2
2243,4134,572,6,Minas Gerais,Marketplace,6,1,91.16,52.6,Cancelado,06/11/2025,9.63
16,36,420,36,São Paulo,Marketplace,3,1,78.26,66.1,Concluído,09/12/2024,12.59
460,831,415,32,São Paulo,Aplicativo,1,1,231.1,130.06,Concluído,13/11/2025,46.54
1985,3651,133,44,Rio de Janeiro,Marketplace,5,1,191.7,119.7,Concluído,16/11/2024,27.39
2191,4041,497,25,Pernambuco,Marketplace,6,3,35.91,16.13,Concluído,05/06/2025,7.68
979,1762,461,5,Minas Gerais,Marketplace,4,3,272.49,185.65,Concluído,17/05/2025,48.23
1580,2864,160,41,Minas Gerais,Site Próprio,3,2,333.7,180.53,Concluído,06/03/2025,57.66
185,348,569,47,Minas Gerais,Site Próprio,5,2,229.52,89.54,Concluído,05/12/2024,48.34
86,168,377,53,São Paulo,Marketplace,5,3,200.52,152.79,Concluído,11/06/2025,127.53
2461,4534,610,51,Santa Catarina,Site Próprio,4,1,325.02,201.19,Concluído,18/06/2025,19.99
57,117,526,11,São Paulo,Marketplace,3,3,218.65,139.55,Concluído,10/05/2024,137.88
291,531,96,5,Pernambuco,Site Próprio,6,2,298.44,185.65,Concluído,25/11/2024,54.73
769,1395,380,5,São Paulo,Site Próprio,5,1,220.58,185.65,Concluído,10/10/2024,47.78
1423,2591,634,49,Rio Grande do Sul,Site Próprio,3,1,125.0,73.39,Concluído,19/11/2025,13.5
1308,2369,311,5,São Paulo,Aplicativo,4,1,298.44,185.65,Concluído,11/11/2024,64.22
569,1029,73,8,São Paulo,Marketplace,5,1,75.51,43.6,Concluído,16/08/2025,14.29
902,1642,383,49,Ceará,Marketplace,2,1,131.25,73.39,Concluído,27/11/2025,13.05
1392,2522,298,12,Ceará,Marketplace,5,1,466.07,209.52,Concluído,11/01/2025,14.08
2043,3764,523,24,São Paulo,Marketplace,3,2,454.45,217.31,Concluído,04/12/2024,158.69
1681,3052,331,10,Ceará,Aplicativo,4,1,250.46,120.42,Concluído,09/12/2025,22.19
1956,3583,560,3,São Paulo,Site Próprio,3,1,52.16,26.91,Concluído,09/11/2025,9.52
2122,3908,42,27,Rio de Janeiro,Aplicativo,6,1,192.75,88.49,Concluído,24/05/2024,26.12
2306,4251,265,8,Paraná,Marketplace,6,1,53.48,43.6,Concluído,09/08/2025,5.36
2405,4424,342,8,Rio Grande do Sul,Aplicativo,6,3,72.36,43.6,Concluído,13/03/2025,11.31
2214,4081,446,8,Rio Grande do Sul,Marketplace,2,1,62.92,43.6,Concluído,12/03/2025,6.57
2498,4606,638,8,Santa Catarina,Site Próprio,3,1,62.92,43.6,Concluído,24/12/2025,6.3
2235,4117,56,9,Mato Grosso,Marketplace,6,1,177.17,108.49,Concluído,04/12/2025,17.91
990,1780,189,1,Santa Catarina,Marketplace,3,1,164.12,91.78,Concluído,09/11/2025,23.35
566,1026,387,40,Santa Catarina,Site Próprio,4,3,98.32,53.25,Concluído,16/02/2025,14.69
2243,4133,572,51,Minas Gerais,Marketplace,6,1,433.37,201.19,Cancelado,06/11/2025,24.27
1952,3574,261,35,Minas Gerais,Site Próprio,6,3,130.54,79.44,Concluído,10/07/2025,34.62
41,82,355,5,São Paulo,Aplicativo,6,1,173.01,185.65,Concluído,20/02/2025,38.49
1815,3319,381,8,Paraná,Marketplace,4,1,53.48,43.6,Concluído,06/04/2025,2.16
1126,2031,467,29,Rio de Janeiro,Site Próprio,5,2,151.89,78.75,Concluído,13/02/2025,39.13
1926,3531,86,52,Rio Grande do Sul,Marketplace,3,3,232.45,115.34,Concluído,19/10/2025,55.23
1942,3555,98,5,Bahia,Aplicativo,6,1,259.51,185.65,Concluído,08/12/2024,16.14
814,1477,319,36,Minas Gerais,Site Próprio,1,1,124.29,66.1,Concluído,19/09/2025,7.95
1495,2717,573,28,Minas Gerais,Marketplace,3,1,262.67,142.78,Concluído,23/05/2024,13.53
2168,3994,359,31,São Paulo,Site Próprio,3,1,81.16,39.52,Concluído,23/08/2024,18.63
1796,3284,526,4,São Paulo,Site Próprio,4,3,325.98,160.15,Cancelado,11/06/2025,233.04
2498,4605,638,29,Santa Catarina,Site Próprio,3,1,144.65,78.75,Concluído,24/12/2025,15.06
1467,2674,361,17,São Paulo,Marketplace,6,1,247.58,127.08,Concluído,18/11/2024,75.39
814,1478,319,17,Minas Gerais,Site Próprio,1,1,206.32,127.08,Concluído,19/09/2025,40.01
2095,3857,385,2,Distrito Federal,Site Próprio,6,2,358.37,137.72,Concluído,14/10/2025,62.71
1372,2484,639,5,Distrito Federal,Site Próprio,4,2,311.41,185.65,Concluído,24/05/2025,27.53
1410,2564,311,38,São Paulo,Marketplace,1,2,121.48,48.05,Concluído,05/10/2024,48.42
2578,4748,258,3,São Paulo,Site Próprio,1,1,60.85,26.91,Concluído,23/03/2025,14.26
1199,2158,165,45,Minas Gerais,Marketplace,6,1,72.93,39.57,Concluído,09/12/2024,2.85
1046,1887,460,8,São Paulo,Site Próprio,3,1,48.94,43.6,Concluído,25/11/2024,10.95
1084,1957,214,11,Paraná,Marketplace,1,2,282.88,139.55,Concluído,15/05/2024,27.55
896,1630,616,37,São Paulo,Site Próprio,2,2,111.83,61.9,Concluído,20/12/2025,37.06
1481,2699,24,43,Distrito Federal,Marketplace,5,2,392.82,182.69,Concluído,20/12/2025,49.42
2057,3789,440,38,Bahia,Site Próprio,3,2,110.92,48.05,Concluído,19/07/2025,9.65
20,41,142,22,Rio de Janeiro,Aplicativo,3,1,160.62,88.13,Concluído,16/02/2025,16.22
945,1705,157,29,Santa Catarina,Site Próprio,2,1,122.95,78.75,Concluído,19/11/2025,8.67
1478,2694,62,17,São Paulo,Marketplace,5,1,137.55,127.08,Concluído,09/08/2025,40.18
2479,4569,181,17,Rio de Janeiro,Site Próprio,2,2,206.32,127.08,Concluído,01/03/2025,86.98
2297,4237,560,51,São Paulo,Aplicativo,6,1,325.02,201.19,Concluído,09/08/2024,72.35
1739,3174,107,49,Minas Gerais,Site Próprio,4,1,143.75,73.39,Concluído,22/09/2024,9.34
1720,3137,74,17,Pernambuco,Site Próprio,4,1,129.91,127.08,Concluído,26/10/2024,18.99
164,312,556,4,Rio Grande do Sul,Site Próprio,4,1,201.22,160.15,Concluído,23/07/2025,6.12
898,1632,353,5,São Paulo,Marketplace,2,1,220.58,185.65,Concluído,10/11/2024,43.34
1863,3413,447,4,Rio de Janeiro,Marketplace,4,2,244.48,160.15,Concluído,17/12/2025,42.78
1149,2068,138,6,Minas Gerais,Marketplace,5,1,79.76,52.6,Cancelado,17/05/2025,5.7
786,1427,600,39,Rio Grande do Sul,Site Próprio,6,3,346.99,144.85,Concluído,01/07/2024,43.62
1110,2003,86,9,Rio Grande do Sul,Marketplace,4,2,205.01,108.49,Concluído,07/08/2025,41.82
191,358,453,40,São Paulo,Site Próprio,4,2,85.68,53.25,Concluído,14/12/2025,34.03
1328,2409,604,29,São Paulo,Marketplace,3,1,91.08,78.75,Concluído,18/03/2025,21.86
626,1130,30,23,Rio de Janeiro,Site Próprio,6,2,65.57,43.89,Concluído,22/11/2025,27.22
1822,3336,356,11,Rio de Janeiro,Marketplace,4,1,245.98,139.55,Cancelado,12/01/2025,21.99
2091,3851,189,53,Santa Catarina,Site Próprio,4,1,318.47,152.79,Concluído,23/12/2024,13.73
1017,1828,234,5,Minas Gerais,Site Próprio,2,1,163.4,185.65,Concluído,25/05/2024,9.25
1346,2441,222,8,São Paulo,Marketplace,6,1,56.63,43.6,Concluído,08/11/2024,12.45
64,129,470,35,Paraná,Site Próprio,2,1,96.7,79.44,Concluído,27/09/2024,4.44
556,1010,446,35,Rio Grande do Sul,Marketplace,1,1,153.58,79.44,Concluído,15/12/2025,8.32
1010,1814,526,5,São Paulo,Marketplace,3,1,311.41,185.65,Concluído,16/09/2024,50.95
1885,3456,180,14,São Paulo,Site Próprio,2,2,183.17,105.23,Concluído,01/07/2025,83.38
365,658,289,53,Mato Grosso do Sul,Aplicativo,6,1,366.23,152.79,Cancelado,01/02/2025,11.32
693,1247,515,51,Rio de Janeiro,Marketplace,4,1,240.76,201.19,Concluído,03/06/2025,28.31
2538,4678,49,29,Rio Grande do Sul,Marketplace,6,1,151.89,78.75,Concluído,21/03/2025,8.99
1528,2772,187,12,Mato Grosso do Sul,Marketplace,5,1,396.16,209.52,Concluído,04/10/2025,18.74
106,202,124,27,São Paulo,Site Próprio,4,2,201.56,88.49,Concluído,02/12/2024,88.93
2562,4721,137,22,Rio de Janeiro,Site Próprio,6,2,289.12,88.13,Concluído,06/11/2024,69.04
784,1422,500,33,Minas Gerais,Site Próprio,1,1,207.73,122.16,Concluído,11/05/2025,17.2
1012,1818,139,16,Rio Grande do Sul,Marketplace,2,3,331.23,150.82,Concluído,17/11/2024,85.76
2179,4017,166,1,Rio de Janeiro,Site Próprio,2,2,139.5,91.78,Concluído,23/03/2025,75.16
1679,3049,283,7,Paraná,Marketplace,3,1,197.88,103.55,Concluído,10/07/2025,19.35
1334,2419,540,15,Paraná,Site Próprio,3,1,43.34,22.05,Concluído,06/10/2025,3.62
1910,3508,28,5,Espírito Santo,Marketplace,1,1,298.44,185.65,Concluído,21/06/2025,23.16
1304,2362,345,31,Minas Gerais,Marketplace,2,2,73.05,39.52,Concluído,17/12/2025,14.46
550,997,227,36,São Paulo,Marketplace,6,1,92.07,66.1,Concluído,06/09/2025,17.26
327,594,546,22,São Paulo,Site Próprio,6,3,151.7,88.13,Concluído,11/12/2024,75.68
536,971,476,35,Amazonas,Site Próprio,5,1,130.54,79.44,Concluído,07/09/2025,6.41
106,203,124,47,São Paulo,Site Próprio,4,1,177.41,89.54,Concluído,02/12/2024,28.49
2411,4440,285,12,Amazonas,Aplicativo,3,1,535.99,209.52,Concluído,12/07/2025,37.36
1093,1975,472,20,Santa Catarina,Marketplace,2,2,113.01,55.18,Concluído,01/08/2025,19.17
2074,3812,611,25,Santa Catarina,Site Próprio,1,1,35.91,16.13,Concluído,07/11/2025,2.4
2556,4709,135,49,São Paulo,Aplicativo,6,1,106.25,73.39,Concluído,15/12/2025,25.26
1991,3664,528,5,Pernambuco,Marketplace,1,1,272.49,185.65,Concluído,05/05/2025,22.7
1892,3468,544,5,São Paulo,Site Próprio,4,3,259.51,185.65,Concluído,15/12/2025,174.78
1096,1981,545,45,Santa Catarina,Site Próprio,5,1,72.93,39.57,Concluído,11/10/2025,7.37
1313,2381,296,14,Distrito Federal,Site Próprio,5,1,183.17,105.23,Concluído,19/05/2025,10.79
1374,2487,540,49,Paraná,Site Próprio,1,1,112.5,73.39,Concluído,21/02/2025,10.55
1311,2375,276,8,Santa Catarina,Site Próprio,6,1,56.63,43.6,Concluído,14/11/2025,3.07
2116,3900,589,47,São Paulo,Site Próprio,6,3,209.56,89.54,Concluído,08/11/2024,109.14
2516,4643,314,40,Bahia,Marketplace,6,1,104.1,53.25,Concluído,27/12/2025,8.56
1703,3098,558,8,Pará,Site Próprio,2,1,62.92,43.6,Concluído,17/04/2025,3.01
2394,4408,620,3,São Paulo,Aplicativo,6,1,69.55,26.91,Concluído,25/10/2025,15.77
1698,3090,428,40,Mato Grosso do Sul,Marketplace,2,1,98.32,53.25,Concluído,14/07/2025,4.25
2335,4304,203,31,Minas Gerais,Site Próprio,5,1,85.22,39.52,Concluído,06/08/2025,5.74
661,1188,308,6,Bahia,Site Próprio,2,2,64.57,52.6,Concluído,06/05/2025,9.88
1287,2330,72,44,São Paulo,Marketplace,4,1,236.81,119.7,Cancelado,05/04/2025,39.14
1292,2343,315,6,Mato Grosso do Sul,Site Próprio,5,1,91.16,52.6,Concluído,08/11/2025,5.15
187,352,315,20,Mato Grosso do Sul,Site Próprio,5,1,113.01,55.18,Concluído,07/07/2024,5.25
976,1756,579,50,São Paulo,Site Próprio,5,3,201.81,118.05,Concluído,08/09/2025,130.17
880,1596,243,40,São Paulo,Site Próprio,1,1,115.67,53.25,Concluído,08/09/2025,23.38
22,43,252,5,Rio Grande do Sul,Site Próprio,2,2,173.01,185.65,Concluído,17/05/2024,20.24
2500,4609,455,47,Espírito Santo,Marketplace,4,1,179.63,89.54,Concluído,26/10/2024,10.72
1195,2150,434,50,São Paulo,Site Próprio,1,1,201.81,118.05,Concluído,15/05/2025,34.65
1378,2495,265,1,Paraná,Marketplace,4,1,103.33,91.78,Concluído,14/12/2025,16.43
1880,3447,499,40,São Paulo,Site Próprio,2,2,72.83,53.25,Concluído,10/11/2025,34.46
708,1274,114,21,Pará,Marketplace,4,1,197.11,94.68,Concluído,13/02/2025,6.82
1212,2183,92,19,Rio Grande do Sul,Site Próprio,3,2,431.76,137.57,Concluído,21/11/2025,88.34
316,575,326,21,Paraná,Site Próprio,6,1,145.69,94.68,Concluído,13/05/2024,5.24
1065,1921,487,4,Paraná,Site Próprio,6,1,201.22,160.15,Concluído,07/10/2024,13.5
1610,2925,387,47,Santa Catarina,Site Próprio,1,1,169.65,89.54,Concluído,02/07/2025,5.46
2449,4510,525,21,Rio Grande do Sul,Marketplace,5,2,171.4,94.68,Concluído,14/11/2024,23.0
475,857,495,22,Pernambuco,Site Próprio,5,1,178.47,88.13,Concluído,19/07/2024,16.94
1210,2177,519,38,Rio de Janeiro,Aplicativo,3,1,89.79,48.05,Concluído,08/09/2025,12.5
1798,3289,366,5,Paraná,Site Próprio,1,1,233.56,185.65,Concluído,15/08/2024,16.65
1545,2796,396,15,Santa Catarina,Marketplace,6,1,43.34,22.05,Concluído,24/11/2025,1.44
